T19AC 419:799 SEGGER J-Link V4.82 Log File (0000ms, 2775ms total)
T19AC 419:799 DLL Compiled: Mar 10 2014 19:07:45 (0000ms, 2775ms total)
T19AC 419:799 Logging started @ 2014-04-02 13:42 (0000ms, 2775ms total)
T19AC 419:799 JLINK_ExecCommand("Device = AT91SAM4SD32B", ...)Device "ATSAM4SD32B" selected (2048 KB flash, 160 KB RAM).  returns 0x00 (0002ms, 2777ms total)
T19AC 419:884 JLINK_ReadMemU8(0xE000EFD0, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  04  returns 0x01 (0001ms, 2861ms total)
T19AC 419:885 JLINK_ReadMemU8(0xE000EFD4, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2862ms total)
T19AC 419:886 JLINK_ReadMemU8(0xE000EFD8, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2863ms total)
T19AC 419:887 JLINK_ReadMemU8(0xE000EFDC, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2864ms total)
T19AC 419:888 JLINK_ReadMemU8(0xE000EFE0, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2865ms total)
T19AC 419:889 JLINK_ReadMemU8(0xE000EFE4, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  B0  returns 0x01 (0001ms, 2866ms total)
T19AC 419:890 JLINK_ReadMemU8(0xE000EFE8, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  0B  returns 0x01 (0001ms, 2867ms total)
T19AC 419:891 JLINK_ReadMemU8(0xE000EFEC, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2868ms total)
T19AC 419:892 JLINK_ReadMemU32(0xE00FF004, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  03 20 F0 FF  returns 0x01 (0001ms, 2869ms total)
T19AC 419:893 JLINK_ReadMemU8(0xE0001FF0, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  0D  returns 0x01 (0001ms, 2870ms total)
T19AC 419:894 JLINK_ReadMemU8(0xE0001FF4, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  E0  returns 0x01 (0001ms, 2871ms total)
T19AC 419:895 JLINK_ReadMemU8(0xE0001FF8, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  05  returns 0x01 (0001ms, 2872ms total)
T19AC 419:896 JLINK_ReadMemU8(0xE0001FFC, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  B1  returns 0x01 (0001ms, 2873ms total)
T19AC 419:897 JLINK_ReadMemU8(0xE0001FD0, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  04  returns 0x01 (0002ms, 2875ms total)
T19AC 419:899 JLINK_ReadMemU8(0xE0001FD4, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2876ms total)
T19AC 419:900 JLINK_ReadMemU8(0xE0001FD8, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2877ms total)
T19AC 419:901 JLINK_ReadMemU8(0xE0001FDC, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  00  returns 0x01 (0001ms, 2878ms total)
T19AC 419:902 JLINK_ReadMemU8(0xE0001FE0, 0x0001 Items, ...) -- CPU is running >0x1D8 JTAG> -- Data:  02  returns 0x01 (0001ms, 2879ms total)
